StockCode,StockAbbre,IndustryClassification
0001.HK,長和,綜合
0002.HK,中電控股,電力
0003.HK,香港中華煤氣,燃氣
0004.HK,九龍倉集團,地產投資
0005.HK,滙豐控股,銀行
0006.HK,電能實業,電力
0007.HK,凱富能源,其他金屬礦物
0008.HK,電訊盈科,通信服務
0009.HK,九號運通,地產投資
0010.HK,恒隆集團,地產投資
0011.HK,恒生銀行,銀行
0012.HK,恒基地產,房地產
0014.HK,希慎興業,地產投資
0015.HK,盈信控股,房屋建築
0016.HK,新鴻基地產,地產投資
0017.HK,新世界發展,房地產
0018.HK,東方報業集團,出版
0019.HK,太古股份公司A,綜合
0020.HK,會德豐,房地產
0021.HK,大中華地產控股,房地產
0022.HK,茂盛控股,酒店
0023.HK,東亞銀行,銀行
0024.HK,寶威控股,鋼鐵
0025.HK,Chevalier Int'l,綜合
0026.HK,中華汽車,地產投資
0027.HK,銀河娛樂,博彩
0028.HK,天安,房地產
0029.HK,達力集團,地產投資
0030.HK,萬隆控股集團,綜合
0031.HK,航太控股,電子元器件
0032.HK,港通控股,工用運輸
0033.HK,亞投金融集團,其他金融
0034.HK,九龍建業,房地產
0035.HK,遠東發展,房地產
0036.HK,遠東控股國際,服裝
0037.HK,遠東酒店實業,酒店
0038.HK,第一拖拉機股份,重型機械
0039.HK,中國北大荒,超市及便利店
0040.HK,金山工業,消費電子
0041.HK,鷹君,地產投資
0042.HK,東北電氣,電子元器件
0043.HK,蔔蜂國際,飼料
0044.HK,香港飛機工程,航空運輸
0045.HK,大酒店,酒店
0046.HK,科聯系統,資訊化服務
0047.HK,合興集團,餐飲
0048.HK,中國汽車內飾,紡織品
0050.HK,香港小輪,房地產
0051.HK,海港企業,房地產
0052.HK,Fairwood Hold,餐飲
0053.HK,國浩集團,資產管理
0054.HK,合和實業,綜合
0055.HK,中星集團控股,包裝印刷
0056.HK,聯合地產,信貸
0057.HK,震雄集團,電子元器件
0058.HK,新威國際,混凝土
0059.HK,天譽置業,房地產
0060.HK,香港食品投資,包裝食品
0061.HK,綠領控股,煤炭
0062.HK,載通,公交運輸
0063.HK,中國烯穀集團,房地產
0064.HK,結好控股,證券
0065.HK,弘海高新資源,煤炭
0066.HK,港鐵公司,鐵路運輸
0067.HK,旭光高新材料,化工用品
0068.HK,利興發展,資產管理
0069.HK,香格里拉,酒店
0070.HK,金粵控股,博彩
0071.HK,美麗華酒店,旅遊服務
0072.HK,現代傳播,出版
0073.HK,亞洲果業,水果
0075.HK,渝太地產,地產投資
0076.HK,南海石油,電子元器件
0077.HK,進智公共交通,公交運輸
0078.HK,Regal Int'l,酒店
0079.HK,世紀建業,其他服務
0080.HK,中國新經濟投資,UNKNOWN
0081.HK,中國海外宏洋集團,房地產
0082.HK,第一視頻,網路視頻
0083.HK,信和置業,房地產
0084.HK,寶光實業,鐘錶
0085.HK,中電華大科技,半導體
0086.HK,新鴻基公司,UNKNOWN
0087.HK,太古股份公司B,綜合
0088.HK,Tai Cheung Hold,房地產
0089.HK,大生地產,地產投資
0090.HK,琥珀能源,新能源
0091.HK,標準資源控股,油氣開採
0092.HK,Champion Tech,資訊化服務
0093.HK,Termbray Ind,地產投資
0094.HK,綠心集團,林業及木材
0095.HK,綠景中國地產,房地產
0096.HK,Yusei,電子元器件
0097.HK,恒基發展,百貨商城
0098.HK,興發鋁業,鋁
0099.HK,王氏國際,通信設備
0100.HK,白馬戶外媒體,傳媒廣告
0101.HK,恒隆地產,地產投資
0102.HK,凱升控股,博彩
0103.HK,首長寶佳,汽車零部件
0104.HK,Asia Comm Hold,鐘錶
0105.HK,凱聯國際酒店,地產投資
0106.HK,朗詩綠色地產,房地產
0107.HK,四川成渝高速公路,公路運輸
0108.HK,國銳地產,物業管理
0109.HK,天成國際,信貸
0110.HK,中國長遠,通信設備
0111.HK,信達國際控股,證券
0112.HK,勒泰商業地產,房地產
0113.HK,迪生創建,服飾配件
0114.HK,Herald Hold,玩具
0115.HK,鈞濠集團,房地產
0116.HK,周生生,珠寶首飾
0117.HK,天利控股集團,電子元器件
0118.HK,大同機械,電子元器件
0119.HK,保利置業集團,房地產
0120.HK,Cosmopol Int'l,房地產
0121.HK,蔔蜂蓮花,超市及便利店
0122.HK,鱷魚恤,服裝
0123.HK,越秀地產,房地產
0124.HK,粵海置地,房地產
0125.HK,新興光學,眼鏡
0126.HK,佳寧娜,綜合
0127.HK,華人置業,地產投資
0128.HK,安寧控股,服裝配套
0129.HK,泛海集團,房地產
0130.HK,慕詩國際,服裝
0131.HK,卓能,地產投資
0132.HK,中國興業控股,酒店
0133.HK,招商局中國基金,UNKNOWN
0135.HK,昆侖能源,油氣開採
0136.HK,恒騰網路,消費電子
0137.HK,金輝集團,港口運輸
0138.HK,中建富通,資產管理
0139.HK,中國軟實力,半導體
0141.HK,大中華集團,地產投資
0142.HK,第一太平,包裝食品
0143.HK,國安國際,通信設備
0144.HK,招商局港口,港口運輸
0145.HK,香港建屋貸款,其他服務
0146.HK,Tai Ping Carpet,紡織品
0147.HK,國際商業結算,房地產
0148.HK,建滔化工,電子元器件
0149.HK,中國農產品交易,農產品交易
0151.HK,中國旺旺,休閒食品
0152.HK,深圳國際,公路運輸
0153.HK,中國賽特,建築材料
0154.HK,北京控股環境集團,新能源
0155.HK,中國源暢,新能源
0156.HK,力寶華潤,地產投資
0157.HK,自然美,化妝品
0158.HK,萬邦投資,地產投資
0159.HK,布萊克萬礦業,鋼鐵
0160.HK,漢國置業,地產投資
0161.HK,中航國際控股,電子元器件
0162.HK,世紀金花,百貨商城
0163.HK,英皇國際,地產投資
0164.HK,中國寶力科技,旅遊服務
0165.HK,中國光大控股,資產管理
0166.HK,新時代能源,油氣開採
0167.HK,IDT Int'l,消費電子
0168.HK,青島啤酒股份,啤酒
0169.HK,萬達酒店發展,房地產
0170.HK,中國資本,UNKNOWN
0171.HK,銀建國際,地產投資
0172.HK,金榜集團,信貸
0173.HK,嘉華國際,房地產
0174.HK,盛洋投資,資產管理
0175.HK,吉利汽車,汽車製造
0176.HK,先機企業集團,消費電子
0177.HK,江蘇寧滬高速公路,公路運輸
0178.HK,莎莎國際,化妝品
0179.HK,德昌電機控股,汽車零部件
0180.HK,開達集團,玩具
0181.HK,閩港控股,酒店
0182.HK,協合新能源,新能源
0183.HK,宏輝集團,房地產
0184.HK,激成投資,酒店
0185.HK,正恒國際控股,地產投資
0186.HK,Grande Holdings,消費電子
0187.HK,京城機電股份,電子元器件
0188.HK,新華匯富金融,證券
0189.HK,東嶽集團,化工用品
0190.HK,香港建設,房地產
0191.HK,麗新國際,地產投資
0193.HK,冠中地產,酒店
0194.HK,廖創興企業,地產投資
0195.HK,綠科科技國際,其他金屬礦物
0196.HK,宏華集團,氣油設備與服務
0197.HK,亨泰,包裝食品
0198.HK,星美控股,影視
0199.HK,德祥地產,房地產
0200.HK,新濠國際發展,博彩
0201.HK,華大酒店,酒店
0202.HK,潤中國際控股,綜合
0204.HK,中國投資開發,UNKNOWN
0205.HK,財訊傳媒,傳媒廣告
0206.HK,TSC集團,氣油設備與服務
0207.HK,大悅城地產,地產投資
0208.HK,保利達資產,房地產
0209.HK,瀛晟科學,玩具
0210.HK,達芙妮國際,鞋類
0211.HK,Styland Hold,證券
0212.HK,Nanyang Hold,地產投資
0213.HK,National Elec H,電子元器件
0214.HK,匯漢控股,地產投資
0215.HK,和記電訊香港,通信服務
0216.HK,建業實業,地產投資
0217.HK,中國誠通發展集團,其他金屬礦物
0218.HK,申萬宏源,證券
0219.HK,順豪物業,酒店
0220.HK,統一企業中國,瓶裝水
0221.HK,易易壹金融,房地產
0222.HK,閩信集團,銀行
0223.HK,易生活控股,電商及互聯網
0224.HK,建生國際,地產投資
0225.HK,博富臨置業,地產投資
0226.HK,力寶,地產投資
0227.HK,第一上海,證券
0228.HK,中能控股,油氣開採
0229.HK,利民實業,家電
0230.HK,五礦地產,房地產
0231.HK,平安證券集團控股,證券
0232.HK,中國航空工業國際,房地產
0233.HK,銘源醫療,生物醫藥
0234.HK,新世紀集團,旅遊服務
0235.HK,中策集團,資產管理
0236.HK,香港生力啤,啤酒
0237.HK,安全貨倉,地產投資
0238.HK,長興國際,男裝
0239.HK,白花油,中藥
0240.HK,利基控股,建築工程
0241.HK,阿裡健康,資訊化服務
0242.HK,信德集團,綜合
0243.HK,QPL Int'l,半導體
0244.HK,先施,百貨商城
0245.HK,中國民生金融,化工用品
0246.HK,瑞金礦業,貴金屬
0247.HK,TST Properties,房地產
0248.HK,香港通訊國際控股,通信設備
0250.HK,中國數碼資訊,資訊化服務
0251.HK,爪哇控股,地產投資
0252.HK,華信地產財務,包裝印刷
0253.HK,順豪控股,酒店
0254.HK,國家聯合資源,其他金屬礦物
0255.HK,龍記集團,電子元器件
0256.HK,冠城鐘錶珠寶,鐘錶
0257.HK,中國光大國際,新能源
0258.HK,湯臣集團,房地產
0259.HK,億都,電腦設備
0260.HK,幸福控股,油氣開採
0261.HK,中建置地,通信設備
0262.HK,迪臣發展國際,房屋建築
0263.HK,高富集團控股,證券
0264.HK,中璽國際,服飾配件
0265.HK,東勝旅遊,旅遊服務
0266.HK,天德地產,地產投資
0267.HK,中信股份,綜合
0268.HK,金蝶國際,軟體發展
0269.HK,中國資源交通,公路運輸
0270.HK,粵海投資,水務
0271.HK,亞證地產,地產投資
0272.HK,里安房地產,房地產
0273.HK,茂宸集團,資產管理
0274.HK,中富資源,貴金屬
0275.HK,凱華集團,房地產
0276.HK,蒙古能源,煤炭
0277.HK,太興置業,地產投資
0278.HK,華廈置業,地產投資
0279.HK,民眾金融科技,證券
0280.HK,景福集團,珠寶首飾
0281.HK,川河集團,房地產
0282.HK,壹傳媒,出版
0283.HK,高銀地產,UNKNOWN
0285.HK,比亞迪電子,通信設備
0286.HK,同佳健康,健康管理
0287.HK,永發置業,地產投資
0288.HK,萬洲國際,肉製品
0289.HK,Wing On Co,百貨商城
0290.HK,中國富強金融,證券
0291.HK,華潤啤酒,啤酒
0292.HK,泛海酒店,酒店
0293.HK,國泰航空,航空運輸
0294.HK,長江制衣,服裝
0295.HK,江山控股,新能源
0296.HK,英皇娛樂酒店,博彩
0297.HK,中化化肥,化肥
0298.HK,莊士中國,房地產
0299.HK,新體育,體育
0300.HK,昆明機床,重型機械
0303.HK,Vtech Holdings,通信設備
0305.HK,五菱汽車,汽車零部件
0306.HK,冠忠巴士集團,公交運輸
0307.HK,優派能源發展,煤炭
0308.HK,香港中旅,旅遊服務
0309.HK,新華通訊頻媒,其他服務
0310.HK,嘉進投資國際,UNKNOWN
0311.HK,聯泰控股,服裝
0312.HK,歲寶百貨,百貨商城
0313.HK,裕田中國,房地產
0315.HK,數碼通電訊,通信服務
0316.HK,東方海外國際,港口運輸
0317.HK,中船防務,船舶製造
0318.HK,黃河實業,信貸
0319.HK,勤美達國際,UNKNOWN
0320.HK,金寶通,消費電子
0321.HK,德永佳集團,紡織品
0322.HK,康師傅控股,瓶裝水
0323.HK,馬鞍山鋼鐵股份,鋼鐵
0326.HK,中國星集團,博彩
0327.HK,百富環球,電商及互聯網
0328.HK,Alco Holdings,消費電子
0329.HK,東建國際,葡萄酒
0330.HK,思捷環球,服裝
0331.HK,豐盛機電,房屋建築
0332.HK,元亨燃氣,油氣開採
0333.HK,黛麗斯國際,內衣
0334.HK,華顯光電,電腦設備
0335.HK,美建集團,證券
0336.HK,華寶國際,食品添加劑
0337.HK,綠地香港,房地產
0338.HK,上海石油化工股份,化工用品
0339.HK,安利時投資,UNKNOWN
0340.HK,中國礦業,茶
0341.HK,大家樂集團,餐飲
0342.HK,新海能源,油氣開採
0343.HK,文化傳信,出版
0345.HK,Vitasoy Int'l,乳製品
0346.HK,延長石油國際,油氣開採
0347.HK,鞍鋼股份,鋼鐵
0348.HK,中國智慧健康,玩具
0351.HK,亞洲能源物流,港口運輸
0352.HK,富陽,房地產服務
0353.HK,能源國際投資,油氣開採
0354.HK,中國軟體國際,資訊化服務
0355.HK,世紀城市國際,酒店
0356.HK,鼎立資本,UNKNOWN
0357.HK,航基股份,航空運輸
0358.HK,江西銅業股份,銅
0359.HK,海升果汁,果汁飲料
0360.HK,新焦點,其他服務
0361.HK,順龍控股,體育用品
0362.HK,中國天化工,化工用品
0363.HK,上海實業控股,綜合
0364.HK,區塊鏈集團,茶
0365.HK,紫光控股,電子元器件
0366.HK,陸氏集團,水泥
0367.HK,莊士機構國際,房地產
0368.HK,中外運航運,港口運輸
0369.HK,永泰地產,房地產
0370.HK,國華,消費電子
0371.HK,北控水務集團,水務
0372.HK,保德國際發展,資產管理
0373.HK,聯合集團,信貸
0374.HK,四洲集團,包裝食品
0375.HK,YGM Trading,服裝配套
0376.HK,雲鋒金融,證券
0377.HK,華君控股,包裝印刷
0378.HK,五龍動力,資產管理
0379.HK,恒嘉融資租賃,融資租賃
0380.HK,冠力國際,管材
0381.HK,僑雄國際,玩具
0382.HK,,電子元器件
0383.HK,中國醫療網路,其他
0384.HK,中國燃氣,燃氣
0385.HK,建聯集團,房屋建築
0386.HK,中國石油化工股份,油氣開採
0387.HK,力豐,電子元器件
0388.HK,香港交易所,其他金融
